2025-07-18 18:38:23.131855 | Monitor started | Info
2025-07-18 18:38:26.439907 | USB inserted | Detected
2025-07-18 18:38:28.490538 | Could not find volume number for G | Fail
2025-07-18 18:39:05.671353 | USB inserted | Detected
2025-07-18 18:39:07.497668 | Could not find volume number for G | Fail
2025-07-18 18:40:47.438939 | Monitor started | Info
2025-07-18 18:44:31.968683 | Monitor started | Info
2025-07-18 18:55:22.459334 | Monitor started | Info
2025-07-18 18:55:49.210057 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-18 19:05:03.386224 | Monitor started | Info
2025-07-18 19:05:09.054163 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-18 19:06:39.871804 | Monitor started | Info
2025-07-18 19:06:46.805021 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-18 19:08:31.956309 | Monitor started | Info
2025-07-18 19:08:38.903191 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-18 19:09:16.960216 | USB access disabled by user | Info
2025-07-18 19:11:27.515218 | Monitor started | Info
2025-07-18 19:12:25.969630 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-18 19:12:49.427671 | USB access disabled by user | Info
2025-07-18 19:19:11.818950 | Monitor started | Info
2025-07-18 19:21:00.959040 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-18 19:21:16.579716 | USB access disabled by user | Info
2025-07-18 19:29:22.627910 | Monitor started | Info
2025-07-19 14:14:41.275536 | Monitor started | Info
2025-07-19 14:20:56.061859 | Monitor started | Info
2025-07-19 14:22:45.410468 | Monitor started | Info
2025-07-19 14:22:52.210466 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 14:23:53.964476 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 14:24:03.053211 | USB access disabled by user | Info
2025-07-19 14:24:45.702676 | Monitor started | Info
2025-07-19 14:24:51.360739 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 14:24:59.524396 | USB access denied | Intruder
2025-07-19 14:25:04.892153 | Photo captured | Success
2025-07-19 14:25:09.654952 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d2e1a72fcca58-759cb76e107sm2451372b3a.111 - gsmtp') | Fail
2025-07-19 19:24:53.368702 | Monitor started | Info
2025-07-19 19:24:57.798964 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 19:25:20.054474 | USB access denied | Intruder
2025-07-19 19:25:26.255804 | Photo captured | Success
2025-07-19 19:25:30.555760 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d9443c01a7336-23e3b60edc5sm29453095ad.74 - gsmtp') | Fail
2025-07-19 19:30:42.113691 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d9443c01a7336-23e3b612232sm29694145ad.66 - gsmtp') | Fail
2025-07-19 19:33:59.882775 | Monitor started | Info
2025-07-19 19:34:04.307113 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 19:34:10.148768 | USB access denied | Intruder
2025-07-19 19:34:14.973368 | Photo captured | Success
2025-07-19 19:34:21.038835 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 98e67ed59e1d1-31cc3f2e1fesm3094764a91.31 - gsmtp') | Fail
2025-07-19 19:35:59.850064 | Plain test email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d9443c01a7336-23e3b6d9504sm29607395ad.179 - gsmtp') | Fail
2025-07-19 19:48:52.483310 | Monitor started | Info
2025-07-19 19:49:04.228844 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 19:49:13.024857 | USB access denied | Intruder
2025-07-19 19:49:18.235028 | Photo captured | Success
2025-07-19 19:49:24.811942 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 98e67ed59e1d1-31cc3f2c043sm3078810a91.29 - gsmtp') | Fail
2025-07-19 19:56:29.108769 | Monitor started | Info
2025-07-19 19:56:33.211643 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 19:56:34.291400 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
